# SOURMASH-MANIFEST-VERSION: 1.0,,,,,,,,,,
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
ERR10034877.sig,51c39f319d89a7532e7ec109ee2993a8,51c39f31,51,DNA,0,1000,13578959,1,ERR10034877,-
ERR10034878.sig,8b5205144321e6e05b444fcb0a067f37,8b520514,21,DNA,0,1000,11469212,1,ERR10034878,-
ERR10034878.sig,58469276ff9e9015d3f5086e78dd1921,58469276,31,DNA,0,1000,12758096,1,ERR10034878,-
ERR10034878.sig,f931d930096abd35c4250fe8cef69844,f931d930,51,DNA,0,1000,12913475,1,ERR10034878,-
ERR10034880.sig,7652b8be394f56c0063738f15c4d49b0,7652b8be,21,DNA,0,1000,14385029,1,ERR10034880,-
ERR10034880.sig,1dbf735a4f52dabeec9f0ad23d8ce981,1dbf735a,31,DNA,0,1000,15838418,1,ERR10034880,-
ERR10034880.sig,2e5a22b8afffb605367994b492ab94bd,2e5a22b8,51,DNA,0,1000,15645132,1,ERR10034880,-
ERR10034881.sig,c31946a8529ecb6e9673b0f8dd757fac,c31946a8,21,DNA,0,1000,11732436,1,ERR10034881,-
ERR10034881.sig,0c79b57258667dafa756f3b0e7338192,0c79b572,31,DNA,0,1000,13001863,1,ERR10034881,-
ERR10034881.sig,07ffe1e61d567ec488e414c3294a5bf8,07ffe1e6,51,DNA,0,1000,13066133,1,ERR10034881,-
ERR10034885.sig,d3327fe14a46f9b003e20546c60c2055,d3327fe1,21,DNA,0,1000,14211981,1,ERR10034885,-
ERR10034885.sig,08624ae643a90bf1532040405235fe4f,08624ae6,31,DNA,0,1000,15857757,1,ERR10034885,-
ERR10034885.sig,e986628a3a17d56b5b4c97b29aad2e7d,e986628a,51,DNA,0,1000,15922159,1,ERR10034885,-
ERR10034887.sig,403ce7a8e1aa39146a6186b30a9a1d4e,403ce7a8,21,DNA,0,1000,11858242,1,ERR10034887,-
ERR10034887.sig,7fa019b0b0498a25c31072f507192a8b,7fa019b0,31,DNA,0,1000,13082513,1,ERR10034887,-
ERR10034887.sig,faac42bcf88067c8d7388275822f7b62,faac42bc,51,DNA,0,1000,12958917,1,ERR10034887,-
ERR10034888.sig,bdd96c6f01fed0ce4f6d0a0ec23b9615,bdd96c6f,21,DNA,0,1000,13197795,1,ERR10034888,-
ERR10034888.sig,c9a478329335834df476d88abe8ebd94,c9a47832,31,DNA,0,1000,14427438,1,ERR10034888,-
ERR10034888.sig,dc097251bd424d7626c2e39b0b88799b,dc097251,51,DNA,0,1000,14187562,1,ERR10034888,-
ERR10034889.sig,38a640b7a3b9aee4b4debbd41eb67a7f,38a640b7,21,DNA,0,1000,12939768,1,ERR10034889,-
ERR10034889.sig,d7227ce0e25b4463e9acb5bba0818bad,d7227ce0,31,DNA,0,1000,14255195,1,ERR10034889,-
ERR10034889.sig,01cfae23f3a7df4b7f47ec29df2ee43e,01cfae23,51,DNA,0,1000,14137353,1,ERR10034889,-
ERR10034891.sig,5b5bc925aecbe6deffd39029fccf434b,5b5bc925,21,DNA,0,1000,12567076,1,ERR10034891,-
ERR10034891.sig,7835ff5cd33d8fbd9478c283afcc0257,7835ff5c,31,DNA,0,1000,13889762,1,ERR10034891,-
ERR10034891.sig,035357cf15fee6b7442f48f2e85c067b,035357cf,51,DNA,0,1000,13811053,1,ERR10034891,-
ERR10034892.sig,502f614e70b2a5cfd1cf738b2cbef1ec,502f614e,21,DNA,0,1000,11638412,1,ERR10034892,-
ERR10034892.sig,75ee068da923b2ec9248e33a08ee4a04,75ee068d,31,DNA,0,1000,12928794,1,ERR10034892,-
ERR10034892.sig,c832753d971f20ffa9bbfc6c53fa8481,c832753d,51,DNA,0,1000,12983621,1,ERR10034892,-
ERR10034894.sig,f2d250678f3a3d5d1508288f92ac0df5,f2d25067,21,DNA,0,1000,10352637,1,ERR10034894,-
ERR10034894.sig,7cf35b07ff8370befa824569e7831f2e,7cf35b07,31,DNA,0,1000,11577141,1,ERR10034894,-
ERR10034894.sig,b7f566b7e20b475962481d1df9c70ac6,b7f566b7,51,DNA,0,1000,11691577,1,ERR10034894,-
ERR10034896.sig,fbc5ce655a7ca456b8e3275984ee88f7,fbc5ce65,21,DNA,0,1000,15358505,1,ERR10034896,-
ERR10034896.sig,5441cfc546ed4aa7fdadfcc942b44002,5441cfc5,31,DNA,0,1000,17120014,1,ERR10034896,-
ERR10034896.sig,45452e412f64dda58115140dadb9e5e3,45452e41,51,DNA,0,1000,17088222,1,ERR10034896,-
ERR10034898.sig,b01581a2ebd1f1d449405a31a44ba697,b01581a2,21,DNA,0,1000,16739529,1,ERR10034898,-
ERR10034898.sig,0c2491407b063d8cb8e29e1074380104,0c249140,31,DNA,0,1000,18849863,1,ERR10034898,-
ERR10034898.sig,e8ac2821264e45e4e2b1377276769770,e8ac2821,51,DNA,0,1000,18948541,1,ERR10034898,-
ERR10048364.sig,3611a8a3a29bb1e0d0f0b9cc00d472d0,3611a8a3,21,DNA,0,1000,16695425,1,ERR10048364,-
ERR10048364.sig,b08f54999bf3910ef2ef2439b49e48eb,b08f5499,31,DNA,0,1000,18705521,1,ERR10048364,-
ERR10048364.sig,683fbfa7caa9b2ab83b2e350b2f5cd41,683fbfa7,51,DNA,0,1000,17451515,1,ERR10048364,-
ERR10048365.sig,dbecdacaeca0954e62c4b838aaaf4c9f,dbecdaca,21,DNA,0,1000,17607802,1,ERR10048365,-
ERR10048365.sig,511b8fa809cf293cd8924f545f61faa6,511b8fa8,31,DNA,0,1000,19925693,1,ERR10048365,-
ERR10048365.sig,208eb7960969a4c9e09b7ae2f30d1ae9,208eb796,51,DNA,0,1000,18628375,1,ERR10048365,-
ERR10048366.sig,76f3f0cd6969f613f6a684d595f44e8a,76f3f0cd,21,DNA,0,1000,21860968,1,ERR10048366,-
ERR10048366.sig,c64455f5adf2bf14c49a8fc07dae6613,c64455f5,31,DNA,0,1000,25090884,1,ERR10048366,-
ERR10048366.sig,b763882d022edf3e2fd251abb21988b2,b763882d,51,DNA,0,1000,23409035,1,ERR10048366,-
ERR10048367.sig,41d668f0bea04d3c8816c792beeb8082,41d668f0,21,DNA,0,1000,18888199,1,ERR10048367,-
ERR10048367.sig,19e280e0b7dba58e2b64a7106e7bb489,19e280e0,31,DNA,0,1000,21464043,1,ERR10048367,-
ERR10048367.sig,2ff5897d659d12ae9548b5ace43da8e9,2ff5897d,51,DNA,0,1000,20094491,1,ERR10048367,-
ERR10048368.sig,078dcaee938414a24d6091941e53e997,078dcaee,21,DNA,0,1000,20203992,1,ERR10048368,-
ERR10048368.sig,b90492564be3833ada6715a9a6c9d711,b9049256,31,DNA,0,1000,22953156,1,ERR10048368,-
ERR10048368.sig,dbaecfa90538152c275d35e9f2dd50de,dbaecfa9,51,DNA,0,1000,21404217,1,ERR10048368,-
ERR10048370.sig,19fb8a1026249ddb29db77d5b214fed6,19fb8a10,21,DNA,0,1000,18300485,1,ERR10048370,-
ERR10048370.sig,a376967a60afec14252e4074bc56b92e,a376967a,31,DNA,0,1000,20733073,1,ERR10048370,-
ERR10048370.sig,b6c3be2ce8f6d70f206eb82e3f712358,b6c3be2c,51,DNA,0,1000,19323916,1,ERR10048370,-
ERR10048372.sig,627530d22be004dee635d310dadf2f57,627530d2,21,DNA,0,1000,18684225,1,ERR10048372,-
ERR10048372.sig,8431170bca5fca93ee060b33d03dcc49,8431170b,31,DNA,0,1000,21231806,1,ERR10048372,-
ERR10048372.sig,b4de17d44a843fec763fa0f1dd4ecc46,b4de17d4,51,DNA,0,1000,19698130,1,ERR10048372,-
ERR10048375.sig,79f4f0ccacd4d5e259081332e45bd32e,79f4f0cc,21,DNA,0,1000,18494500,1,ERR10048375,-
ERR10048375.sig,37ea027cc83f4e6f64e6c73823039800,37ea027c,31,DNA,0,1000,21066756,1,ERR10048375,-
ERR10048375.sig,3934c23bff2bdb27dae45fb4eb74d114,3934c23b,51,DNA,0,1000,19659295,1,ERR10048375,-
ERR10048376.sig,9264710e1302905ab0f204457728cd66,9264710e,21,DNA,0,1000,18851871,1,ERR10048376,-
ERR10048376.sig,4be40b6069c7d913aa59fabca7afe1d9,4be40b60,31,DNA,0,1000,21260975,1,ERR10048376,-
ERR10048376.sig,9f42b442fad2fac4c92e4d92c4481196,9f42b442,51,DNA,0,1000,19801147,1,ERR10048376,-
ERR10048377.sig,49c1a3e04267ba34905205540f521714,49c1a3e0,21,DNA,0,1000,15629627,1,ERR10048377,-
ERR10048377.sig,ebe40581db7ea1758d1be07b12c3585e,ebe40581,31,DNA,0,1000,17419218,1,ERR10048377,-
ERR10048377.sig,706cceb20f5d07ceb17b8f382a58189c,706cceb2,51,DNA,0,1000,16288453,1,ERR10048377,-
ERR10048378.sig,c32d4cd660d5a9c8ed0be74ac41cc52c,c32d4cd6,21,DNA,0,1000,15352287,1,ERR10048378,-
ERR10048378.sig,658a9ecb243cf286ad47cf48c4154460,658a9ecb,31,DNA,0,1000,17330029,1,ERR10048378,-
ERR10048378.sig,3f16de084effa3eb1c09c732154f0147,3f16de08,51,DNA,0,1000,16271865,1,ERR10048378,-
ERR10048379.sig,d5d6bcf0cf95ff4c29e1dd92bc91d0b9,d5d6bcf0,21,DNA,0,1000,17107692,1,ERR10048379,-
ERR10048379.sig,b5d34a33347cd81d333fd0a2a54de683,b5d34a33,31,DNA,0,1000,19349008,1,ERR10048379,-
